PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,YEAR,SAMPLE_TYPE,SAM_CODE,SAMPLE_CAT,AL,AL_ALERT,ANC,ANC_ALERT,CA,CA_ALERT,CL,CL_ALERT,COLOR,COLOR_ALERT,COND,COND_ALERT,DOC,DOC_ALERT,K,K_ALERT,MG,MG_ALERT,SODIUM,SODIUM_ALERT,NH4,NH4_ALERT,NO2,NO2_ALERT,NO3,NO3_ALERT,NO3NO2,NO3NO2_ALERT,NTL,NTL_ALERT,PHLAB,PHLAB_ALERT,PTL,PTL_ALERT,SIO2,SIO2_ALERT,SO4,SO4_ALERT,TSS,TSS_ALERT,TURB,TURB_ALERT,CHEM_COM,HUC_8,XLAT_DD,XLON_DD,AGGR_ECO9_2015
17-Feb-15,10951,FW08NV049,31-Jul-08,1,2008,CHEMW,REGULAR,P,0.3555,S,468.17,HS,4.811,S,0.61,S,3.0,HRS,50.25,S,1.17,S,1.2930000000000001,S,0.402,S,5.301,S,0.003,RS,0.0,RS,0.00036,RS,,,617.0,S,7.71,HS,123.6519,S,39.508,S,1.66,S,37.5,S,7.71,HS,,16060005,38.85132,-116.60377,['XER']
17-Feb-15,10954,FW08NV040,30-Jun-08,1,2008,CHEMW,REGULAR,P,0.0025,,2374.84,,30.02,,9.06,H,31.0,,327.4,,5.4,,4.808,,9.904,,26.25,,0.016,R,0.00053,R,0.005529999999999999,HR,,,519.0,H,8.09,,197.6075,H,22.633000000000003,,33.47,H,6.3,,5.8,,,16050201,39.08195,-119.75676999999999,['XER']
17-Feb-15,10956,FW08NV050,22-Jul-08,1,2008,CHEMW,REGULAR,P,0.0003,,5344.23,,43.24,,107.81,H,5.0,,1036.56,,5.63,,18.5,,21.94,,144.4,,0.017,R,0.0,R,0.01902,HR,,,584.0,H,8.71,,100.4963,H,32.532,H,99.05,H,21.0,,29.2,,,16040108,40.41024,-118.31541999999999,['XER']
17-Feb-15,10958,FW08CA044,5-Sep-08,1,2008,CHEMB,REGULAR,P,0.0041,S,2434.68,S,18.31,S,7.98,HS,21.0,HS,283.14,S,7.96,S,4.971,S,8.099,S,30.18,S,0.015,RS,0.0,RS,0.0,HRS,,,1056.0,HS,8.8,HS,469.99,HS,28.581999999999997,HS,11.49,HS,27.4,S,34.27,HS,,18020002,41.48963,-120.60455,['WMT']
17-Feb-15,10962,FW08NV051,23-Jul-08,1,2008,CHEMW,REGULAR,P,0.001,,3757.23,,40.87,,22.45,,12.0,,517.71,,2.26,,8.522,,13.62,,49.31,,0.007,R,0.0,R,0.0,R,,,243.0,H,8.63,,27.7113,H,20.155,H,43.96,,13.6,,6.12,,,16040105,40.649440000000006,-116.77917,['XER']
17-Feb-15,10963,FW08NV053,24-Jun-08,1,2008,CHEMW,REGULAR,P,0.0061,S,1235.78,S,15.54,S,2.19,S,15.0,HS,140.4,S,2.8,HS,2.432,S,3.033,S,6.112,S,0.006,RS,0.0,RS,0.0,RS,,,233.0,HS,8.07,HS,47.7663,HS,37.841,HS,2.42,S,6.0,S,5.2,HS,,17050102,41.95767,-115.86403,['XER']
17-Feb-15,10964,FW08NV054,8-Jul-08,1,2008,CHEMW,REGULAR,P,0.0041,,3275.3,,40.21,,11.36,,12.0,,347.9,,1.15,H,1.588,,8.017999999999999,,21.15,,0.013,R,0.0,R,0.01778,R,,,639.0,H,8.6,,153.9725,H,18.545,H,12.47,,138.1,,48.4,,,16040201,41.27328,-118.46037,['XER']
17-Feb-15,10965,FW08NV056,1-Jul-08,1,2008,CHEMW,REGULAR,P,0.0025,,2589.93,,33.98,,12.25,,25.0,,399.6,,5.53,,5.197,,9.116,,32.85,,0.017,R,0.0,R,0.0,R,,,494.0,H,8.39,,154.7088,H,23.405,,49.93,H,2.6,,3.14,,,16050202,39.20122,-119.62983999999999,['XER']
17-Feb-15,10969,FW08CA059,7-Sep-08,1,2008,CHEMB,REGULAR,P,0.0003,,1189.36,,10.54,,0.91,H,5.0,,117.94,,1.3,,1.374,,5.412000000000001,,4.738,,0.012,R,0.0,R,0.00389,HR,,,154.0,H,8.13,H,11.7113,H,16.632,H,0.79,H,3.4,,3.66,H,,18020121,40.001909999999995,-121.2682,['WMT']
17-Feb-15,10971,FW08NV057,16-Jul-08,1,2008,CHEMW,REGULAR,P,0.0003,,4157.9,,49.06,,15.52,,15.0,,540.39,H,4.25,,10.56,,15.35,,41.84,,0.011,R,0.0,R,0.00361,R,,,396.0,H,8.13,,132.5113,H,47.788000000000004,,51.5,H,2.2,,1.62,R,,16040102,41.13193,-115.49978999999999,['XER']
