Year,HUC_CODE,HUC_NAME,Tons_N_Farm_Fert,Tons_P2O5_Farm_Fert,Tons_K2O_Farm_Fert,Tons_N_Exc,Tons_P2O5_Exc,Tons_K2O_Exc,Tons_N_Recovered,Tons_P2O5_Recovered,Tons_K2O_Recovered,Tons_N_Fixed_Legumes,Tons_N_Rem,Tons_P2O5_Rem,Tons_K2O_Rem,BalanceN_Tons,BalanceP2O5_Tons,BalanceK2O_Tons,RatioN,RatioP2O5,RatioK2O,N_PPCA,P2O5_PPCA,K2O_PPCA,FarmNPPCA,FarmP2O5PPCA,FarmK2OPPCA,TotalPlantedAc,TotalHarvestedAc,TotalCropland,OtherCropAcres
2014,5120111,'' Middle Wabash-Busseron '',32676.76348,12551.01939,22439.56947,3169.817406,2267.581398,2500.122194,696.2752596,1290.345758,1292.435448,36188.84501,65596.22982,22974.38892,25797.64204,3965.653926,-9133.023772,-2065.63712,0.942990993,1.659835477,1.087040144,10.06697098,-23.18454585,-5.243702382,82.95127003,31.86126432,56.9637439,,850087.3343,787854.4469,25901.48426
2014,5120112,'' Embarras '',40535.12331,16186.00629,27487.40601,5078.315375,3944.872374,4296.921309,1244.3881,2557.543189,2124.867647,58173.48934,106137.908,37879.66704,39422.91151,-6184.907217,-19136.11757,-9810.63786,1.061878154,2.02094417,1.331303093,-10.50158185,-32.49191911,-16.65784351,68.82607943,27.48281647,46.67187947,,1398204.98,1177900.111,0
2014,5120113,'' Lower Wabash '',45629.75626,18480.08239,31392.91799,1883.83077,1610.685033,1480.84546,474.0481397,975.1039779,767.1698544,21940.56248,44267.37496,15678.4213,18132.85387,23776.99192,3776.765066,14027.23398,0.650566343,0.805873612,0.563830981,75.2622559,11.95474431,44.40096024,144.4336779,58.49573799,99.36924886,,565519.6989,631843.7214,76004.38594
2014,5120114,'' Little Wabash '',54650.84208,25428.20022,37997.98087,4697.385571,3688.348574,3974.567513,941.7173107,2020.386792,1965.472155,44303.16618,81321.92504,28696.07955,30590.84164,18573.80053,-1247.49254,9372.611388,0.814068115,1.045448334,0.765470432,36.2921383,-2.437528697,18.31354376,106.7846032,49.6852412,74.24586987,,1056264.384,1023571.572,43187.03425
2014,5120115,'' Skillet '',23684.41482,17122.48522,14869.58253,1247.447586,866.7364232,1055.536295,214.3921872,337.2376265,521.9626982,13336.32385,27924.10587,9749.627521,10932.7112,9311.02499,7710.095322,4458.83403,0.749939781,0.558406775,0.710306278,38.5482014,31.92025664,18.45984007,98.05489659,70.88811482,61.5609627,,335850.5521,483084.7952,88368.28771
2014,5120201,'' Upper White '',33825.8155,15963.10502,27216.02865,2346.853879,1642.787485,1680.558321,437.0584101,836.6186877,925.1473557,37790.25913,66653.16457,23143.01547,25747.80591,5399.968481,-6343.291758,2393.370091,0.925055744,1.3775831,0.914951312,12.52084808,-14.70812149,5.549481154,78.43154986,37.01347769,63.1055091,,858591.3501,862556.3453,15467.5787
2014,5120202,'' Lower White '',24868.55308,8238.880075,15278.89397,8974.783865,7088.220239,6426.778452,2749.56781,4530.174816,3537.931877,21097.25266,41014.88225,14524.0761,19412.19375,7700.491299,-1755.021205,-595.3678987,0.841928928,1.137443313,1.031640188,29.75062007,-6.780472446,-2.300186244,96.07891829,31.83066916,59.02955435,,569715.7306,517669.2977,17429.19697
2014,5120203,'' Eel '',11013.48089,5960.043359,9678.961163,2221.782674,1705.966828,1590.996096,452.4851432,796.7823396,875.843351,14782.23945,30373.88879,10606.57943,12357.62711,-4125.683304,-3849.753735,-1802.822598,1.157179633,1.569757739,1.170805873,-18.83118751,-17.57174002,-8.228767909,50.26971496,27.20390436,44.17845944,,353969.5599,438175.5853,80905.20312
2014,5120204,'' Driftwood '',21521.77839,9335.219042,16461.31526,1701.88035,1116.748181,1218.699302,309.2762165,628.7866338,670.8939655,22213.51245,39492.01797,13746.97519,15125.19491,4552.549087,-3782.969511,2007.01431,0.89663767,1.379663524,0.882851401,18.10489046,-15.04437345,7.981632605,85.58928916,37.12494142,65.46449117,,502779.0896,502908.2167,12368.77186
2014,5120205,'' Flatrock-Haw '',13148.98403,5525.695289,9598.87961,1284.63236,879.4778213,919.9122371,236.3047276,495.4713534,506.4116865,13148.86681,23286.53232,8102.940746,8938.253237,3247.623241,-2081.774104,1167.038059,0.877605932,1.345742649,0.88451218,23.40072865,-15.0002101,8.40908533,94.74492097,39.81536234,69.16466612,,290772.8363,277565.9928,6879.632987
2014,5120206,'' Upper East Fork White '',25468.10825,10490.69569,18567.34232,3449.127276,2749.19041,2469.885149,1018.978918,1755.131142,1359.671775,11921.58163,23240.42076,8093.600474,9157.226401,15168.24804,4152.226359,10769.7877,0.605082693,0.660927235,0.459538311,92.10074222,25.21208306,65.39354035,154.6409095,63.69890951,112.73985,,280551.7368,329383.8394,44999.29488
2014,5120207,'' Muscatatuck '',12711.49573,6273.268522,10786.95478,3084.427033,2524.481562,2208.726995,1001.372319,1356.22846,1215.904211,9485.677693,18384.66441,6245.005507,8103.767432,4813.881335,1384.491475,3899.091555,0.792492108,0.81853437,0.675153098,36.0210006,10.35978346,29.17587068,95.11675996,46.94120887,80.71592911,,220210.8033,267281.933,45394.02494
2014,5120208,'' Lower East Fork White '',12876.53969,5193.975821,9139.477167,7433.857075,6272.221155,5323.309848,2218.638772,3541.168073,2930.482071,8027.352169,19136.33062,6718.6462,9285.839319,3986.200012,2016.497694,2784.119919,0.827605374,0.769151176,0.76933477,26.07309347,13.18958725,18.21048083,84.22337616,33.97296088,59.77985092,,225613.8061,305771.1595,78140.9042
2014,5120209,'' Patoka '',11191.92365,3570.019089,6706.630281,8476.703229,6606.490024,6070.081429,3679.25476,4837.002391,3341.579827,8855.519038,16638.69928,5866.670592,7673.656153,7087.99816,2540.350888,2374.553955,0.701264865,0.697829856,0.763683887,68.57580749,24.57768886,22.97361698,108.2809538,34.53964522,64.88610418,,235420.4835,206720.0787,1397.973782
2014,5130101,'' Upper Cumberland '',601.5799737,545.1231415,621.1086429,1366.003862,1023.447191,1158.0848,43.0404079,70.49506125,214.3761277,273.1113812,1770.614871,667.603596,2266.879386,-852.883108,-51.98539332,-1431.394615,1.929338117,1.084444211,2.713250398,-30.70839831,-1.871754933,-51.53793712,21.66012819,19.62737731,22.36326575,,50378.63888,55547.22192,5030.461333
2014,5130102,'' Rockcastle '',547.9811955,387.8474874,527.8818805,1385.257077,1013.054581,1168.655489,69.8306971,95.20550111,218.3048454,253.5887999,1672.078327,631.3239088,2214.594484,-800.6776342,-148.2709203,-1468.407758,1.918839796,1.306945457,2.967882444,-29.6237565,-5.485780358,-54.32867361,20.27440359,14.34971958,19.53076197,,46712.63122,54056.45528,3035.306135
2014,5130103,'' Upper Cumberland-Lake Cumberland '',4663.950977,2598.607563,4143.135507,5785.790251,4005.589558,4883.573316,458.4929028,568.3943689,911.3762754,3067.39439,9923.663008,3553.920793,9642.186259,-1733.824739,-386.918861,-4587.674476,1.211704393,1.122171969,1.907639486,-16.67526616,-3.72123828,-44.12250628,44.85610462,24.99241808,39.84709975,,193129.9622,207951.672,19025.71666
2014,5130104,'' South Fork Cumberland '',765.210983,497.8321765,649.9935454,1275.350914,914.0012938,1108.51497,264.7122382,281.2269549,195.4832735,338.4096616,1654.018041,611.198133,1762.453855,-285.6851576,167.8609984,-916.977036,1.208783375,0.784533687,2.084567921,-12.25645905,7.20156927,-39.34013087,32.82906663,21.3579863,27.88601038,,32417.36319,46617.89454,8136.719126
2014,5130105,'' Obey '',1633.296194,992.5379671,1405.781524,2003.511475,1498.180932,1738.193633,152.4248274,196.8181158,307.6391834,326.1664864,2398.890891,911.3507692,2901.527306,-287.0033833,278.0053138,-1188.106599,1.135898992,0.766255609,1.69341207,-8.287724109,8.027889131,-34.30865377,47.1642811,28.66126784,40.5943975,,52326.42309,69259.87871,7856.23401
