HUC_CODE,Tons_N_Exc,Tons_P2O5_Exc,Tons_K2O_Exc,P_Exc,K_Exc,N_Exc
02040207,4610.972307999999,3005.4177170000003,2267.137835,1190597.9347218785,1713927.4861807567,4183003.9910385176
02040301,22.91125361,15.33431634,16.4393362,6074.698123161412,12427.929935608134,20784.741023937127
02040302,17.14179264,10.16488905,12.29961909,4026.826567618532,9298.35623686486,15550.773727759872
02040303,4505.977756,3049.152351,2357.606261,1207923.4348084999,1782320.4703033606,4087754.5293813087
02040304,445.22649440000004,329.1338482,339.5853212,130386.56080897264,256722.20141313152,403902.70827696513
02050101,3703.0700590000006,1791.604955,2891.51105,709745.3199915651,2185945.727993367,3359368.8708599037
02050102,3291.9182960000003,1570.6597160000001,2587.1830760000003,622217.7381342868,1955877.634470371,2986378.240973101
02050103,1552.3387699999998,731.2863192000001,1195.7784689999999,289699.4904917852,903993.3760367259,1408258.1365946957
02050104,2695.44819,1398.666267,2046.895374,554082.4356747344,1547426.975402596,2445269.627155512
02050105,2476.8235050000003,1152.671512,1905.5591329999997,456631.47383380675,1440578.5674656485,2246936.636018724
02050106,4620.848874,2127.122201,3310.916444,842660.6674627706,2503010.8933890425,4191963.861589915
02050107,1484.792266,966.3202574999999,1063.878794,382808.31857471005,804278.8924659427,1346980.9748727567
02050201,657.321124,382.75706549999995,470.9817131,151629.42878349536,356056.20933523413,596311.7324117153
02050202,113.37571770000001,61.14155475,81.23562106,24221.261623392053,61413.100536826576,102852.72778653097
02050203,226.715836,114.3069689,162.44573459999998,45282.77062015403,122806.9177116284,205673.1603384928
02050204,1205.807315,679.0130662,863.9813542999999,268991.41164106276,653158.9600869789,1093890.067896812
02050205,517.1788443,301.10474280000005,370.5673974,119282.81479304344,280144.2585806996,469176.7864305267
02050206,3470.4585850000003,2021.815687,2486.642328,800943.4321606801,1879870.102498512,3148347.2773415083
02050301,5840.101106,3785.0805149999997,4184.531309,1499461.7947529133,3163452.665540753,5298050.953826388
02050302,2243.71704,1334.3394130000001,1607.661244,528599.3159452063,1215371.5367549092,2035465.994188992
02050303,2543.969154,865.6718916000001,1822.7969649999998,342936.4112867982,1378011.4167784431,2307850.148177659
02050304,5759.2266979999995,3483.491271,4126.5834270000005,1379987.0445344457,3119644.8007552586,5224682.92017979
02050305,12253.77129,8229.806848999999,8780.034571,3260242.6551741017,6637594.921904768,11116435.056964394
02050306,34364.76586,23235.22055,24557.3695,9204645.811182374,18565060.281986337,31175193.243750926
02060001,0.0,0.0,0.0,0.0,0.0,0.0
02060002,3405.752417,2055.4324030000002,1994.5994420000002,814260.7132878054,1507891.9132257348,3089646.825265662
02060003,1239.842551,800.2448596,722.4377049999999,317017.4554180149,546153.7541024033,1124766.3166604247
02060004,41.48317181,29.01020922,23.95978173,11492.410851180723,18113.29149731142,37632.90292182049
02060005,4054.6126740000004,2656.7554010000003,2288.355208,1052475.160307906,1729967.5514153654,3678282.987740156
02060006,272.0656557,210.3408878,157.13923119999998,83326.66210946089,118795.26835693813,246813.82745307338
02070001,12206.8644,9385.567273,8952.372281999998,3718097.803250241,6767880.048476428,11073881.83934112
02070002,2196.64703,1295.11952,1537.5857939999999,513062.3330686882,1162395.384177276,1992764.7965811442
02070003,4153.994318999999,3032.315818,3021.6346510000003,1201253.6327026929,2284317.5221170876,3768440.505483151
02070004,12931.3334,7507.550794,8926.790309,2974120.5089714983,6748540.400926752,11731109.104212321
02070005,31680.84055,24616.99109,24163.76442,9752034.995014599,18267499.827170677,28740376.99818364
