HUC_8,P,N,K,PManure,NManure,KManure,PFert,NFert,KFert
01090001,42391.74776506645,384792.16509874415,176986.42063404934,12209.861717652624,40659.582107270784,26927.134250223087,30181.886047413827,344132.5829914734,150059.28638382626
01090002,153581.15269869973,1307125.7809087054,629939.7951779246,52844.54855298167,219815.4291118895,144619.45146257195,100736.60414571807,1087310.3517968159,485320.3437153526
01090003,41209.96448828456,297502.00148495054,135180.20918435112,20422.250567030194,63657.238763261026,42074.789066245066,20787.713921254366,233844.76272168953,93105.42011810605
01090004,214831.47020441206,1828331.5194372532,804459.2567555155,81930.29767397423,331523.44192440127,216639.6790642369,132901.17253043785,1496808.077512852,587819.5776912785
01090005,141148.50811510277,1122717.192037456,471627.811322724,65941.66258447645,261511.9606492089,174208.12240691955,75206.84553062633,861205.231388247,297419.68891580444
01100001,156840.7392932764,999829.771200268,509682.74616011255,119296.80500880149,524243.6585682802,354619.9697820157,37543.93428447489,475586.1126319877,155062.7763780968
01100002,103431.65248757729,663108.0729192519,348132.8473054414,85811.66391327995,409414.7193047393,277617.5114570782,17619.988574297342,253693.35361451254,70515.3358483632
01100003,244887.0916805372,1144152.9557174714,680924.736252887,227339.06972384985,904210.912692191,613137.8843885377,17548.02195668735,239942.04302528047,67786.85186434929
01100004,13299.985360515628,167803.6946374806,49404.8665688456,3274.5409901091334,11033.838593406943,7481.954866475438,10025.444370406494,156769.85604407365,41922.91170237016
01100005,190996.39138638924,1574710.530684178,749865.9037854862,108471.24273529084,502324.5645169285,336245.6866835327,82525.1486510984,1072385.9661672495,413620.2171019535
01100006,4604.099180560298,121160.48849599091,39204.80180670104,116.36314557337398,3331.063266304811,2245.850775880453,4487.736034986924,117829.4252296861,36958.951030820586
01110000,376384.23348158697,2567417.974878047,1418629.3161270262,339567.95493389963,1842341.9710840636,1210437.691262136,36816.27854768736,725076.0037939836,208191.62486489018
02010001,340204.84667694836,1932754.4020405957,1161469.802576717,263140.2828496832,1208215.07217281,792124.9203953348,77064.5638272652,724539.3298677854,369344.8821813822
02010002,698594.7942585454,4182992.018920713,2300246.0240329537,576002.29236624,2858996.5422685267,1878390.237637841,122592.5018923053,1323995.4766521866,421855.7863951128
02010003,158469.79296160876,1007416.1997982643,503347.0341949952,117194.63055562078,552748.0310325108,363161.16162082896,41275.16240598798,454668.16876575357,140185.87257416622
02010004,38268.60694014214,219332.91838201985,119168.86759019412,27114.438000503636,125562.14581350113,82234.79173290674,11154.168939638506,93770.77256851873,36934.075857287375
